hour,minute,day_of_week,is_weekend,is_peak,is_festival,weather_code,intersection_id,density
0,0,0,0,0,0,0,0,0.6955301389550094
0,0,0,0,0,0,0,1,0.4652087861909247
0,0,0,0,0,0,0,2,0.5337017503326994
0,0,0,0,0,0,0,3,0.5726196802218728
0,0,0,0,0,0,0,4,0.5428036484621619
0,0,0,0,0,0,0,5,0.45624152328482387
0,0,0,0,0,0,0,6,0.33234803144888575
0,0,0,0,0,0,0,7,0.5267240251541684
0,5,0,0,0,0,0,0,0.6316457155159858
0,5,0,0,0,0,0,1,0.45704888892070866
0,5,0,0,0,0,0,2,0.572964808459153
0,5,0,0,0,0,0,3,0.4270295914431561
0,5,0,0,0,0,0,4,0.6467926449782969
0,5,0,0,0,0,0,5,0.4952430848339272
0,5,0,0,0,0,0,6,0.354629690316311
0,5,0,0,0,0,0,7,0.5560532840869798
0,10,0,0,0,0,0,0,0.6749580176651548
0,10,0,0,0,0,0,1,0.4278329304823793
0,10,0,0,0,0,0,2,0.5392485438244262
0,10,0,0,0,0,0,3,0.5612624786216903
0,10,0,0,0,0,0,4,0.6257155456049619
0,10,0,0,0,0,0,5,0.48937127110863426
0,10,0,0,0,0,0,6,0.42982954741843027
0,10,0,0,0,0,0,7,0.5396463620602874
0,15,0,0,0,0,0,0,0.5784167148527702
0,15,0,0,0,0,0,1,0.5183296477498204
0,15,0,0,0,0,0,2,0.5932958069538286
0,15,0,0,0,0,0,3,0.46228869034776454
0,15,0,0,0,0,0,4,0.6501730199188013
0,15,0,0,0,0,0,5,0.5170580952238636
0,15,0,0,0,0,0,6,0.32171771595395937
0,15,0,0,0,0,0,7,0.6144240577862528
0,20,0,0,0,0,1,0,0.7090836879373191
0,20,0,0,0,0,1,1,0.47759432120357503
0,20,0,0,0,0,1,2,0.6935368492592362
0,20,0,0,0,0,1,3,0.5409670181176062
0,20,0,0,0,0,1,4,0.7074749558702846
0,20,0,0,0,0,1,5,0.5281073414394964
0,20,0,0,0,0,1,6,0.4436598782995247
0,20,0,0,0,0,1,7,0.634986159120575
0,25,0,0,0,0,0,0,0.588082015890965
0,25,0,0,0,0,0,1,0.44572239577590606
0,25,0,0,0,0,0,2,0.5367048948381934
0,25,0,0,0,0,0,3,0.42706551269525717
0,25,0,0,0,0,0,4,0.6372909645953388
0,25,0,0,0,0,0,5,0.5438404570069111
0,25,0,0,0,0,0,6,0.3960502195435022
0,25,0,0,0,0,0,7,0.5294443910044588
0,30,0,0,0,0,0,0,0.5735970244520704
0,30,0,0,0,0,0,1,0.4684172297878355
0,30,0,0,0,0,0,2,0.5660569749567267
0,30,0,0,0,0,0,3,0.4324492118819196
0,30,0,0,0,0,0,4,0.685994320964593
0,30,0,0,0,0,0,5,0.420009869045245
0,30,0,0,0,0,0,6,0.38612903503650686
0,30,0,0,0,0,0,7,0.5210882535103458
0,35,0,0,0,0,0,0,0.6240305680907627
0,35,0,0,0,0,0,1,0.5146891516003088
0,35,0,0,0,0,0,2,0.5226681401678139
0,35,0,0,0,0,0,3,0.5679410761703969
0,35,0,0,0,0,0,4,0.6868455003078728
0,35,0,0,0,0,0,5,0.5377106224678684
0,35,0,0,0,0,0,6,0.41311031417609473
0,35,0,0,0,0,0,7,0.5607869592426379
0,40,0,0,0,0,0,0,0.7217929184785883
0,40,0,0,0,0,0,1,0.3988777790530258
0,40,0,0,0,0,0,2,0.5756533630787861
0,40,0,0,0,0,0,3,0.5799702996718258
0,40,0,0,0,0,0,4,0.6896579638526318
0,40,0,0,0,0,0,5,0.4922951170116849
0,40,0,0,0,0,0,6,0.3692427256473189
0,40,0,0,0,0,0,7,0.5944838473125577
0,45,0,0,0,0,0,0,0.662768662149719
0,45,0,0,0,0,0,1,0.5043470663082942
0,45,0,0,0,0,0,2,0.4789950989576618
0,45,0,0,0,0,0,3,0.4931150876343035
0,45,0,0,0,0,0,4,0.6939010256462155
0,45,0,0,0,0,0,5,0.5368454544990949
0,45,0,0,0,0,0,6,0.4573007228709202
0,45,0,0,0,0,0,7,0.5461431994867283
0,50,0,0,0,0,0,0,0.6609151071851069
0,50,0,0,0,0,0,1,0.4292930738322284
0,50,0,0,0,0,0,2,0.5949575049813937
0,50,0,0,0,0,0,3,0.5333202627879918
0,50,0,0,0,0,0,4,0.595394920936266
0,50,0,0,0,0,0,5,0.4355606409746518
0,50,0,0,0,0,0,6,0.46284835299001836
0,50,0,0,0,0,0,7,0.6766619803535111
0,55,0,0,0,0,0,0,0.6075354356863446
0,55,0,0,0,0,0,1,0.4343996548370114
0,55,0,0,0,0,0,2,0.47121282477048476
0,55,0,0,0,0,0,3,0.44469409603708726
0,55,0,0,0,0,0,4,0.6398052678161558
0,55,0,0,0,0,0,5,0.4507275893156969
0,55,0,0,0,0,0,6,0.45302330649999634
0,55,0,0,0,0,0,7,0.6024185961489525
1,0,0,0,0,0,0,0,0.6080765696306725
1,0,0,0,0,0,0,1,0.3867552096361611
1,0,0,0,0,0,0,2,0.574959695155388
1,0,0,0,0,0,0,3,0.5465138314079627
1,0,0,0,0,0,0,4,0.55171983207399
1,0,0,0,0,0,0,5,0.41808516186316047
1,0,0,0,0,0,0,6,0.37310722050023326
1,0,0,0,0,0,0,7,0.5820369797454603
1,5,0,0,0,0,0,0,0.6948825136014931
1,5,0,0,0,0,0,1,0.4795980714827258
1,5,0,0,0,0,0,2,0.48440689282323757
1,5,0,0,0,0,0,3,0.5625100486310524
1,5,0,0,0,0,0,4,0.6794916814178674
1,5,0,0,0,0,0,5,0.4013807701411082
1,5,0,0,0,0,0,6,0.4681120222411302
1,5,0,0,0,0,0,7,0.6180043104198506
1,10,0,0,0,0,0,0,0.5875922313659502
1,10,0,0,0,0,0,1,0.4300581389953547
1,10,0,0,0,0,0,2,0.611346805332855
1,10,0,0,0,0,0,3,0.5497918113527734
1,10,0,0,0,0,0,4,0.6699277750542328
1,10,0,0,0,0,0,5,0.5058489129806647
1,10,0,0,0,0,0,6,0.45750441381230267
1,10,0,0,0,0,0,7,0.583965731636316
1,15,0,0,0,0,0,0,0.6818862575150182
1,15,0,0,0,0,0,1,0.37681247819382624
1,15,0,0,0,0,0,2,0.5220840173995298
1,15,0,0,0,0,0,3,0.47600347257030573
1,15,0,0,0,0,0,4,0.6213570813894101
1,15,0,0,0,0,0,5,0.45382523289200943
1,15,0,0,0,0,0,6,0.3341229486016605
1,15,0,0,0,0,0,7,0.661968243835204
1,20,0,0,0,0,0,0,0.6794862075765757
1,20,0,0,0,0,0,1,0.44640777513866614
1,20,0,0,0,0,0,2,0.6180634418193972
1,20,0,0,0,0,0,3,0.5169962785851383
1,20,0,0,0,0,0,4,0.6196548908110203
1,20,0,0,0,0,0,5,0.46398111599609365
1,20,0,0,0,0,0,6,0.4716519421501569
1,20,0,0,0,0,0,7,0.5266807281043641
1,25,0,0,0,0,0,0,0.6959103810146786
1,25,0,0,0,0,0,1,0.5165975185301009
1,25,0,0,0,0,0,2,0.48238109751053193
1,25,0,0,0,0,0,3,0.5591429978132976
1,25,0,0,0,0,0,4,0.6679830537481157
1,25,0,0,0,0,0,5,0.4469623167700415
1,25,0,0,0,0,0,6,0.43432729637579803
1,25,0,0,0,0,0,7,0.5630533894456747
1,30,0,0,0,0,0,0,0.6731304994300399
1,30,0,0,0,0,0,1,0.5283354328780087
1,30,0,0,0,0,0,2,0.5659596926009987
1,30,0,0,0,0,0,3,0.5728882661297974
1,30,0,0,0,0,0,4,0.596485181817569
